Oct 30, 2020 111.06 111.99 107.72 108.86 108.51 190,272,600
Oct 29, 2020 112.37 116.93 112.20 115.32 114.95 146,129,200
Oct 28, 2020 115.05 115.43 111.10 111.20 110.84 143,937,800
Oct 27, 2020 115.49 117.28 114.54 116.60 116.23 92,276,800
Oct 26, 2020 114.01 116.55 112.88 115.05 114.68 111,850,700
Oct 23, 2020 116.39 116.55 114.28 115.04 114.67 82,572,600
Oct 22, 2020 117.45 118.04 114.59 115.75 115.38 101,988,000
Oct 21, 2020 116.67 118.71 116.45 116.87 116.49 89,946,000
Oct 20, 2020 116.20 118.98 115.63 117.51 117.13 124,423,700
Oct 19, 2020 119.96 120.42 115.66 115.98 115.61 120,639,300
Oct 16, 2020 121.28 121.55 118.81 119.02 118.64 115,393,800
Oct 15, 2020 118.72 121.20 118.15 120.71 120.32 112,559,200
Oct 14, 2020 121.00 123.03 119.62 121.19 120.80 151,062,300
Oct 13, 2020 125.27 125.39 119.65 121.10 120.71 262,330,500
Oct 12, 2020 120.06 125.18 119.28 124.40 124.00 240,226,800
Oct 09, 2020 115.28 117.00 114.92 116.97 116.59 100,506,900
Oct 08, 2020 116.25 116.40 114.59 114.97 114.60 83,477,200
Oct 07, 2020 114.62 115.55 114.13 115.08 114.71 96,849,000
Oct 06, 2020 115.70 116.12 112.25 113.16 112.80 161,498,200
Oct 05, 2020 113.91 116.65 113.55 116.50 116.13 106,243,800
Oct 02, 2020 112.89 115.37 112.22 113.02 112.66 144,712,000
Oct 01, 2020 117.64 117.72 115.83 116.79 116.41 116,120,400
Sep 30, 2020 113.79 117.26 113.62 115.81 115.44 142,675,200
Sep 29, 2020 114.55 115.31 113.57 114.09 113.72 99,382,200
Sep 28, 2020 115.01 115.32 112.78 114.96 114.59 137,672,400
Sep 25, 2020 108.43 112.44 107.67 112.28 111.92 149,981,400
Sep 24, 2020 105.17 110.25 105.00 108.22 107.87 167,743,300
Sep 23, 2020 111.62 112.11 106.77 107.12 106.78 150,718,700
Sep 22, 2020 112.68 112.86 109.16 111.81 111.45 183,055,400
Sep 21, 2020 104.54 110.19 103.10 110.08 109.73 195,713,800
Sep 18, 2020 110.40 110.88 106.09 106.84 106.50 287,104,900
Sep 17, 2020 109.72 112.20 108.71 110.34 109.99 178,011,000
Sep 16, 2020 115.23 116.00 112.04 112.13 111.77 154,679,000
Sep 15, 2020 118.33 118.83 113.61 115.54 115.17 184,642,000
Sep 14, 2020 114.72 115.93 112.80 115.36 114.99 140,150,100
Sep 11, 2020 114.57 115.23 110.00 112.00 111.64 180,860,300
Sep 10, 2020 120.36 120.50 112.50 113.49 113.13 182,274,400
Sep 09, 2020 117.26 119.14 115.26 117.32 116.94 176,940,500
Sep 08, 2020 113.95 118.99 112.68 112.82 112.46 231,366,600
Sep 04, 2020 120.07 123.70 110.89 120.96 120.57 332,607,200
Sep 03, 2020 126.91 128.84 120.50 120.88 120.49 257,599,600
Sep 02, 2020 137.59 137.98 127.00 131.40 130.98 200,119,000
Sep 01, 2020 132.76 134.80 130.53 134.18 133.75 152,470,100
Aug 31, 2020 127.58 131.00 126.00 129.04 128.63 225,702,700
Aug 31, 2020 4:1 Stock Split
Aug 28, 2020 126.01 126.44 124.58 124.81 124.41 187,630,000
Aug 27, 2020 127.14 127.49 123.83 125.01 124.61 155,552,400
Aug 26, 2020 126.18 126.99 125.08 126.52 126.12 163,022,400
Aug 25, 2020 124.70 125.18 123.05 124.82 124.42 211,495,600
Aug 24, 2020 128.70 128.79 123.94 125.86 125.45 345,937,600
Aug 21, 2020 119.26 124.87 119.25 124.37 123.97 338,054,800
Aug 20, 2020 115.75 118.39 115.73 118.28 117.90 126,907,200
Aug 19, 2020 115.98 117.16 115.61 115.71 115.34 145,538,000
Aug 18, 2020 114.35 116.00 114.01 115.56 115.19 105,633,600
Aug 17, 2020 116.06 116.09 113.96 114.61 114.24 119,561,600
Aug 14, 2020 114.83 115.00 113.04 114.91 114.54 165,565,200
Aug 13, 2020 114.43 116.04 113.93 115.01 114.64 210,082,000
Aug 12, 2020 110.50 113.28 110.30 113.01 112.65 165,944,800
Aug 11, 2020 111.97 112.48 109.11 109.38 109.02 187,902,400
Aug 10, 2020 112.60 113.78 110.00 112.73 112.37 212,403,600
Aug 07, 2020 113.21 113.68 110.29 111.11 110.76 198,045,600
Aug 07, 2020 0.205 Dividend
Aug 06, 2020 110.40 114.41 109.80 113.90 113.33 202,428,800
Aug 05, 2020 109.38 110.39 108.90 110.06 109.51 121,992,000
Aug 04, 2020 109.13 110.79 108.39 109.67 109.12 173,071,600
Aug 03, 2020 108.20 111.64 107.89 108.94 108.39 308,151,200
Jul 31, 2020 102.89 106.42 100.82 106.26 105.73 374,336,800
Jul 30, 2020 94.19 96.30 93.77 96.19 95.71 158,130,000
Jul 29, 2020 93.75 95.23 93.71 95.04 94.56 90,329,200
Jul 28, 2020 94.37 94.55 93.25 93.25 92.79 103,625,600
Jul 27, 2020 93.71 94.90 93.48 94.81 94.34 121,214,000
Jul 24, 2020 90.99 92.97 89.14 92.61 92.15 185,438,800
Jul 23, 2020 97.00 97.08 92.01 92.85 92.38 197,004,400
Jul 22, 2020 96.69 97.97 96.60 97.27 96.79 89,001,600
Jul 21, 2020 99.17 99.25 96.74 97.00 96.51 103,646,000
Jul 20, 2020 96.42 98.50 96.06 98.36 97.87 90,318,000
Jul 17, 2020 96.99 97.15 95.84 96.33 95.85 92,186,800
Jul 16, 2020 96.56 97.40 95.90 96.52 96.04 110,577,600
Jul 15, 2020 98.99 99.25 96.49 97.72 97.24 153,198,000
Jul 14, 2020 94.84 97.25 93.88 97.06 96.57 170,989,200
Jul 13, 2020 97.26 99.96 95.26 95.48 95.00 191,649,200
Jul 10, 2020 95.33 95.98 94.71 95.92 95.44 90,257,200
Jul 09, 2020 96.26 96.32 94.67 95.75 95.27 125,642,800
Jul 08, 2020 94.18 95.38 94.09 95.34 94.87 117,092,000
Jul 07, 2020 93.85 94.65 93.06 93.17 92.71 112,424,400
Jul 06, 2020 92.50 93.94 92.47 93.46 92.99 118,655,600
Jul 02, 2020 91.96 92.62 90.91 91.03 90.57 114,041,600
Jul 01, 2020 91.28 91.84 90.98 91.03 90.57 110,737,200
Jun 30, 2020 90.02 91.50 90.00 91.20 90.74 140,223,200
Jun 29, 2020 88.31 90.54 87.82 90.44 89.99 130,646,000
Jun 26, 2020 91.10 91.33 88.25 88.41 87.96 205,256,800
Jun 25, 2020 90.18 91.25 89.39 91.21 90.75 137,522,400
Jun 24, 2020 91.25 92.20 89.63 90.01 89.56 192,623,200
Jun 23, 2020 91.00 93.10 90.57 91.63 91.17 212,155,600
Jun 22, 2020 87.83 89.86 87.79 89.72 89.27 135,445,200
Jun 19, 2020 88.66 89.14 86.29 87.43 86.99 264,476,000
Jun 18, 2020 87.85 88.36 87.31 87.93 87.49 96,820,400
Jun 17, 2020 88.79 88.85 87.77 87.90 87.46 114,406,400
Jun 16, 2020 87.86 88.30 86.18 88.02 87.58 165,428,800
Jun 15, 2020 83.31 86.42 83.14 85.75 85.32 138,808,800
Jun 12, 2020 86.18 86.95 83.56 84.70 84.28 200,146,000
Jun 11, 2020 87.33 87.76 83.87 83.97 83.55 201,662,400
Jun 10, 2020 86.97 88.69 86.52 88.21 87.77 166,651,600
Jun 09, 2020 83.04 86.40 83.00 86.00 85.57 147,712,400
Jun 08, 2020 82.56 83.40 81.83 83.36 82.95 95,654,400
Jun 05, 2020 80.84 82.94 80.81 82.88 82.46 137,250,400
Jun 04, 2020 81.10 81.40 80.19 80.58 80.18 87,560,400
Jun 03, 2020 81.17 81.55 80.57 81.28 80.87 104,491,200
